SMILES,He,H2,O2,N2,CO2,CH4
*CC(C)(COC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1)CN(C)C,0.145316725,0.120723691,-1.045757491,-1.853871964,-0.466355434,-1.894603423
*C=CC1CC(*)C([Si](C)(C)C[Si](C)(C)C)C1,1.58334988,1.86332286,1.204119983,0.568201724,2.826074803,0.929418926
*c1cc(C(c2ccc(O)c(N3C(=O)c4cc5c(cc4C3=O)C3(C)c4ccccc4C5(C)c4cc5c(cc43)C(=O)N(*)C5=O)c2)(C(F)(F)F)C(F)(F)F)ccc1O,1.904442934,1.918225357,0.86779945,0.065166884,1.539590623,-0.267308575
*CC(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2)cc1,0.556302501,0.506864523,-0.609511355,-1.344196644,-0.13076828,-1.419708896
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,0.269979677,0.176141943,-1.015118456,-1.783434533,-0.553929064,-1.894694373
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1cc(Br)ccc1-2)c1ccccc1,3.176091259,3.568201724,3.301029996,3.041392685,3.903089987,3.477121255
*c1cc2c(cc1*)C1(C(C)C)c3ccccc3C2(C(C)C)c2cc3c(cc21)Oc1cc2nc(*)c(*)nc2cc1O3,2.396572786,3.043362278,1.785329835,0.850646235,2.682817048,0.861534411
*Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(=O)c3cccc(C(*)=O)c3)c(C)c2)cc1C,1.491361694,1.644737269,0.823149324,0.228034206,1.434806143,0.338211424
*c1cc(CCCCCC)c(*)s1,1.877980604,2.085557764,1.36361198,0.813512229,1.984914372,0.966114742
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(F)c(F)c1,3.698970004,4.041392685,3.819543936,3.707570176,4.414973348,4.079181246
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3oc4cc5c(=O)n(-c6ccc(C(c7ccc(N8C(=O)c9cc(*)c(*)cc9C8=O)cc7)(C(F)(F)F)C(F)(F)F)cc6)c(=O)c5cc4oc3cc21,2.278753601,2.556302501,1.929418926,1.361727836,2.716003344,1.431363764
*CC(*)(C)C(=O)OCCCCCCOc1ccc(C(=O)Oc2ccc(OCCCCCC)cc2)cc1,2.55696184,2.85823682,2.313831405,1.85229698,2.955554054,2.084549602
*c1ccc(Oc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,-1.497750458,1.308543072,-0.60199051,-1.503236356,0.16917462,-0.63311031
*/C(=C(\*)c1ccc(C[Si](C)(C)C)cc1)c1ccccc1,2.380211242,2.62324929,2.146128036,1.643452676,2.806179974,2.079181246
